ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,
53,simple,3882510101,Carcaza de Embrague aplicable a Mercedes Benz  1935 ,1,0,visible,,"Carcaza de embrague aplicable a Mercedes Benz 1935 
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: Original
\n
\nCódigo de referencia: 3882510101
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,35.00,50,50,28,1,,," $  419,603.41 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor > Carcaza",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1935,1,1,Marca,Original,1,1,
158,simple,3892605719,Engranaje de 3ª caja aplicable a Mercedes Benz Axor,1,0,visible,,"Engranaje de 3ª aplicable a Mercedes Benz Axor
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Euroricambi
\n
\nCódigo de referencia: 60.53.1207
\n
\nOtros datos: Caja G240-16
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,3.6,16,17,8.5,1,,," $  484,518.28 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Engranaje",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Axor,1,1,Marca,Euroricambi,1,1,REVISAR LINEA
144,simple,3892620537,Sincronizado de 3° aplicable a Mercedes Benz Actros/Axor 1933,1,0,visible,,,,,taxable,,backorder,5,,0,0,0.83,16,16,8,1,,," $  250,039.64 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Sincronizado",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Actros/Axor 1933,1,1,Marca,Cinpal,1,1,
230,simple,3892620537,Cono de sincronización aplicable a Mercedes Benz Axor 2035,1,0,visible,,,,,taxable,,backorder,5,,0,0,0.9,25,25,6,1,,," $  250,039.64 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja>  , Camiones Clásicos > Transmisión > Caja>  > Olla poeta coeona",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Axor 2035,1,1,Marca,Euroricambi,1,1,
106,simple,3892620716,Engranaje 6ª superior aplicable a Mercedes Benz O-500,1,0,visible,,"Engranaje 6ª superior aplicable a Mercedes Benz O-500
\n
\nAplicable a: Mercedes Benz 
\n
\nMarca: Euroricambi
\n
\nCódigo de referencia: 60.53.1673
\n
\nOtros datos: Caja G-210, G-230
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,2,,0,0,2,14.5,13.5,8,1,,," $  118,897.45 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Engranaje",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,O-500,1,1,Marca,Euroricambi,1,1,
159,simple,3892623810,Engranaje de 6ª aplicable a Mercedes Benz Axor,1,0,visible,,,,,taxable,,backorder,2,,0,0,6.9,20,20,13,1,,," $  530,792.50 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Engranaje",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Axor,1,1,Marca,Euroricambi,1,1,
72,simple,3892624935,Sincronizado aplicable a Mercedes Benz Actros/ Axor ,1,0,visible,Aplicable a Caja G-210/G-211/G-240/G-260,"Sincronizado aplicable a Mercedes Benz Actros/ Axor
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Euroricambi
\n
\nCódigo de referencia: 60.53.0730
\n
\nOtros datos: Aplicable a Caja G-210/G-211/G-240/G-260
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,3,,0,0,2.8,22.5,22.5,4.5,1,,," $  124,123.83 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Sincronizado",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Actros/Axor,1,1,Marca,Euroricambi,1,1,
170,simple,3892626601,Directa de caja aplicable a Mercedes Benz Axor-2035/2040,1,0,visible,,,,,taxable,,backorder,1,,0,0,7.75,46,17,19,1,,," $  465,464.19 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Directas, guías y horquillas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Axor 2035/2040,1,1,Marca,Euroricambi,1,1,
18,simple,4572001470,Tensor de correa aplicable a Mercedes Benz Axor 2035S,1,0,visible,,"Tensor de correa aplicable a Mercedes Benz Axor 2035S
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: Universal.
\n
\nCódigo de Referencia: 4572001470
\n
\nOtros datos: También aplica a Mercedes Benz 1728, 2040S, 2044S, 2535S, 2540S, 3340K, Motores OM-457 LA

\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,1,,0,0,1.4,16,16,11,1,,," $  67,127.93 ","Camiones Clásicos , Camiones Clásicos > Filtros y Refrigeración , Camiones Clásicos > Filtros y Refrigeración > Tensores y Correas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Axor 2035S,1,1,Marca,Gespannt,1,1,
52,simple,4761400801,Múltiple de admisión aplicable a Mercedes Benz OM 447,1,0,visible,,"Múltiple Admisión aplicable a Mercedes Benz 1633/1634
\n
\nAplicable a: Mercedes Benz.
\n
\nMarca: Original
\n
\nCódigo de referencia: 4761400801
\n
\nOtros datos: También aplica a Mercedes Benz OM 447 LA
\n
\n&nbsp;
\n
\n&nbsp;

",,,taxable,,backorder,1,,0,0,7.50,87,18,11,1,,," $  1,989,542.88 ","Camiones Clásicos , Camiones Clásicos > Motor , Camiones Clásicos > Motor, Escape > Múltiple",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,OM 447,1,1,Marca,Original,1,1,
